Common,Royal,Monk
យុវជនសម័យថ្មីត្រូវចេះប្រើប្រាស់បច្ចេកវិទ្យាឱ្យចំណេញដល់ការសិក្សានិងការងារ។,យុវជនសម័យថ្មីត្រូវចេះប្រើប្រាស់បច្ចេកវិទ្យាឱ្យមានប្រយោជន៍ដល់ការសិក្សានិងការងារ។,យុវជនសម័យថ្មីគួរប្រើប្រាស់បច្ចេកវិទ្យាឱ្យមានប្រយោជន៍ដល់ការសិក្សានិងការងារ។
ក្នុងឱកាសបុណ្យភ្ជុំបិណ្ឌខ្មែរគ្រប់រូបតែងតែទៅវត្តប្រគេនចង្ហាន់ដល់ព្រះសង្ឃ។,ក្នុងឱកាសបុណ្យភ្ជុំបិណ្ឌប្រជាពលរដ្ឋខ្មែរតែងទៅវត្តប្រគេនចង្ហាន់ដល់ព្រះសង្ឃ។,ក្នុងឱកាសបុណ្យភ្ជុំបិណ្ឌសត្វលោកតែងទៅវត្តប្រគេនចង្ហាន់ដល់ព្រះសង្ឃ។
ការងារជាក្រុមទាមទារឱ្យសមាជិកទាំងអស់ចេះយោគយល់និងជួយគ្នាទៅវិញទៅមក។,ការងារជាក្រុមទាមទារឱ្យសមាជិកទាំងអស់មានសាមគ្គីនិងជួយគ្នាទៅវិញទៅមក។,ការងារជាក្រុមទាមទារឱ្យសមាជិកទាំងអស់មានការយោគយល់និងជួយគ្នា។
ខ្ញុំចង់ទៅទស្សនាប្រាសាទអង្គរវត្តនៅខេត្តសៀមរាបជាមួយមិត្តភក្តិជិតស្និទ្ធ។,ទូលបង្គំមានបំណងយាងទៅទស្សនាប្រាសាទអង្គរវត្តនៅខេត្តសៀមរាបជាមួយព្រះសហការីជិតស្និទ្ធ។,អាត្មាភាពមានបំណងទៅទស្សនាប្រាសាទអង្គរវត្តនៅខេត្តសៀមរាបជាមួយមិត្តជិតស្និទ្ធ។
សត្វឆ្កែគឺជាសត្វចិញ្ចឹមដែលស្មោះត្រង់បំផុតចំពោះម្ចាស់របស់វាជានិច្ច។,សត្វឆ្កែជាសត្វចិញ្ចឹមដែលមានភាពស្មោះត្រង់ខ្លាំងចំពោះម្ចាស់របស់វា។,សត្វឆ្កែជាសត្វចិញ្ចឹមដែលមានភាពស្មោះត្រង់ចំពោះម្ចាស់របស់វា។
សិស្សានុសិស្សទាំងអស់ត្រូវមកសាលារៀនឱ្យបានមុនម៉ោងប្រាំពីរព្រឹកជារៀងរាល់ថ្ងៃ។,សិស្សានុសិស្សទាំងអស់ត្រូវយាងមកសាលារៀនឱ្យបានមុនម៉ោងប្រាំពីរព្រឹកជាប្រចាំ។,សិស្សានុសិស្សទាំងអស់ត្រូវមកសាលារៀនឱ្យបានមុនម៉ោងប្រាំពីរព្រឹកជាប្រចាំ។
គាត់ជាមនុស្សសាមញ្ញម្នាក់ដែលចូលចិត្តរស់នៅបែបធម្មជាតិតាមបែបជនបទ។,គាត់ជាបុគ្គលសាមញ្ញមួយរូបដែលមានព្រះហឫទ័យចូលចិត្តរស់នៅតាមបែបជនបទ។,គាត់ជាមនុស្សសាមញ្ញដែលចូលចិត្តរស់នៅតាមបែបធម្មជាតិជនបទ។
ប្រទេសកម្ពុជាមានតំបន់ទេសចរណ៍ស្អាតៗជាច្រើនដែលទាក់ទាញភ្ញៀវបរទេសមកលេង។,ព្រះរាជាណាចក្រកម្ពុជាមានតំបន់ទេសចរណ៍ស្អាតៗជាច្រើនដែលទាក់ទាញភ្ញៀវបរទេស។,ប្រទេសកម្ពុជាមានតំបន់ទេសចរណ៍ស្អាតៗជាច្រើនដែលទាក់ទាញភ្ញៀវបរទេស។
ការសន្សំលុយគឺជាទម្លាប់ល្អមួយសម្រាប់រៀបចំជីវិតទៅថ្ងៃអនាគត។,ការសន្សំប្រាក់ជាទម្លាប់ល្អសម្រាប់រៀបចំជីវភាពទៅថ្ងៃអនាគត។,ការសន្សំប្រាក់ជាទម្លាប់ល្អសម្រាប់រៀបចំជីវិតទៅថ្ងៃអនាគត។
ក្មួយស្រីរបស់ខ្ញុំចេះគូររូបភាពយ៉ាងស្អាតនិងមានភាពច្នៃប្រឌិតខ្ពស់មែនទែន។,ក្មួយស្រីរបស់ទូលបង្គំមានទេពកោសល្យក្នុងការគូររូបនិងមានភាពច្នៃប្រឌិតខ្ពស់។,ក្មួយស្រីរបស់អាត្មាភាពចេះគូររូបស្អាតនិងមានភាពច្នៃប្រឌិតខ្ពស់។
ប្អូនស្រីរបស់នាងកំពុងរៀនលេងឧបករណ៍តន្ត្រីបុរាណខ្មែរនៅសាលាសិល្បៈ។,ព្រះអនុជស្រីរបស់នាងកំពុងសិក្សាលេងឧបករណ៍តន្ត្រីបុរាណខ្មែរនៅសាលាសិល្បៈ។,ប្អូនស្រីរបស់នាងកំពុងរៀនលេងឧបករណ៍តន្ត្រីបុរាណខ្មែរនៅសាលាសិល្បៈ។
ការហាត់ប្រាណជាទៀងទាត់ជួយកាត់បន្ថយភាពស្មុគស្មាញនិងធ្វើឱ្យចិត្តសប្បាយ។,ការហាត់ប្រាណជាទៀងទាត់ជួយកាត់បន្ថយភាពតានតឹងនិងបង្កើនព្រះសុខភាព។,ការហាត់ប្រាណជាទៀងទាត់ជួយកាត់បន្ថយភាពតានតឹងនិងធ្វើឱ្យចិត្តសប្បាយ។
សណ្ឋាគារដែលខ្ញុំស្នាក់នៅមានសេវាកម្មល្អនិងបន្ទប់គេងមានផាសុកភាពខ្លាំងណាស់។,សណ្ឋាគារដែលទូលបង្គំស្នាក់នៅមានសេវាកម្មល្អនិងបន្ទប់គេងមានផាសុកភាព។,សណ្ឋាគារដែលអាត្មាភាពស្នាក់នៅមានសេវាកម្មល្អនិងបន្ទប់គេងមានផាសុកភាព។
ផ្លូវជាតិលេខប្រាំមួយគឺជាផ្លូវដ៏សំខាន់សម្រាប់ធ្វើដំណើរទៅកាន់ខេត្តសៀមរាប។,ផ្លូវជាតិលេខប្រាំមួយជាផ្លូវសំខាន់សម្រាប់ការធ្វើដំណើរទៅខេត្តសៀមរាប។,ផ្លូវជាតិលេខប្រាំមួយជាផ្លូវសំខាន់សម្រាប់ធ្វើដំណើរទៅខេត្តសៀមរាប។
ខ្ញុំចូលចិត្តស្ដាប់ព័ត៌មានរៀងរាល់ព្រឹកដើម្បីដឹងពីព្រឹត្តិការណ៍ដែលកើតឡើងជុំវិញពិភពលោក។,ទូលបង្គំមានព្រះរាជហឫទ័យស្តាប់ព័ត៌មានរៀងរាល់ព្រឹកដើម្បីជ្រាបអំពីព្រឹត្តិការណ៍ពិភពលោក។,អាត្មាភាពចូលចិត្តស្តាប់ព័ត៌មានរៀងរាល់ព្រឹកដើម្បីដឹងពីព្រឹត្តិការណ៍ពិភពលោក។
សាលារៀនគឺជាកន្លែងបណ្ដុះបណ្ដាលចំណេះដឹងនិងសីលធម៌ដល់កុមារនិងយុវជន។,សាលារៀនជាស្ថាប័នបណ្ដុះបណ្ដាលចំណេះដឹងនិងសីលធម៌ដល់កុមារនិងយុវជន។,សាលារៀនជាកន្លែងបណ្ដុះបណ្ដាលចំណេះដឹងនិងសីលធម៌ដល់កុមារនិងយុវជន។
កាលពីយប់មិញមានភ្លៀងធ្លាក់ខ្លាំងមែនទែនធ្វើឱ្យផ្លូវមួយចំនួនមានទឹកជន់។,កាលពីយប់មិញមានភ្លៀងធ្លាក់យ៉ាងខ្លាំងបណ្ដាលឱ្យផ្លូវមួយចំនួនមានទឹកជន់។,កាលពីយប់មិញមានភ្លៀងធ្លាក់ខ្លាំងបណ្ដាលឱ្យផ្លូវមួយចំនួនមានទឹកជន់។
កសិករនៅក្នុងភូមិកំពុងតែប្រមូលផលស្រូវយ៉ាងសប្បាយរីករាយជាមួយគ្នា។,កសិករក្នុងភូមិកំពុងប្រមូលផលស្រូវដោយសេចក្ដីសប្បាយរីករាយ។,កសិករក្នុងភូមិកំពុងប្រមូលផលស្រូវដោយសេចក្ដីសប្បាយរីករាយ។
លោកយាយរបស់ខ្ញុំចូលចិត្តទៅវត្តសមាធិនិងស្ដាប់ធម៌រៀងរាល់ថ្ងៃសីល។,ព្រះអយ្យកា​របស់ទូលបង្គំមានព្រះហឫទ័យទៅវត្តសមាធិនិងស្តាប់ព្រះធម៌រៀងរាល់ថ្ងៃសីល។,លោកយាយរបស់អាត្មាភាពចូលចិត្តទៅវត្តសមាធិនិងស្តាប់ធម៌រៀងរាល់ថ្ងៃសីល។
ខ្ញុំត្រូវការទិញសម្ភារៈសិក្សាមួយចំនួនដូចជាប៊ិចសៀវភៅនិងកាបូបថ្មី។,ទូលបង្គំត្រូវការទិញសម្ភារៈសិក្សាមួយចំនួនដូចជាប៊ិចសៀវភៅនិងកាបូបថ្មី។,អាត្មាភាពត្រូវការទិញសម្ភារៈសិក្សាដូចជាប៊ិចសៀវភៅនិងកាបូបថ្មី។
អាហារពេលព្រឹកគឺជាអាហារដែលសំខាន់បំផុតសម្រាប់ផ្ដល់ថាមពលដល់ខួរក្បាល។,ព្រះក្រយ៉ាពេលព្រឹកជាព្រះក្រយ៉ាដ៏សំខាន់សម្រាប់ផ្ដល់ថាមពលដល់ខួរក្បាល។,ចង្ហាន់ពេលព្រឹកជាចង្ហាន់សំខាន់សម្រាប់ផ្ដល់ថាមពលដល់ខួរក្បាល។
យើងមិនត្រូវបោះចោលសំរាមផ្ដេសផ្ដាសនៅតាមទីសាធារណៈនោះឡើយបាទ។,ព្រះអង្គទាំងឡាយមិនត្រូវបោះចោលសំរាមផ្ដេសផ្ដាសនៅតាមទីសាធារណៈនោះឡើយ។,ព្រះអង្គទាំងឡាយមិនត្រូវបោះចោលសំរាមផ្ដេសផ្ដាសនៅតាមទីសាធារណៈនោះឡើយ។
កម្មវិធីទូរស័ព្ទថ្មីនេះជួយឱ្យការទូទាត់ប្រាក់កាន់តែមានភាពងាយស្រួលជាងមុន។,ព្រះរាជកម្មវិធីទូរស័ព្ទថ្មីនេះជួយឱ្យការទូទាត់ប្រាក់កាន់តែមានភាពងាយស្រួលជាងមុន។,កម្មវិធីទូរស័ព្ទថ្មីនេះជួយឱ្យការទូទាត់ទ្រព្យកាន់តែមានភាពងាយស្រួលជាងមុន។
មិត្តភក្តិរបស់ខ្ញុំបានផ្ញើសំបុត្រអញ្ជើញខ្ញុំទៅចូលរួមកម្មវិធីខួបកំណើតរបស់គាត់។,មាត្រាភក្តិរបស់ព្រះអង្គបានផ្ញើសំបុត្រអញ្ជើញព្រះអង្គទៅចូលរួមព្រះរាជកម្មវិធីខួបកំណើត។,ពុទ្ធបរិស័ទរបស់ព្រះតេជគុណបានផ្ញើសំបុត្រអញ្ជើញព្រះអង្គទៅចូលរួមកម្មវិធីខួបកំណើត។
ដើមឈើផ្ដល់ជាម្លប់ដ៏ត្រជាក់និងជួយបង្កើតអុកស៊ីហ្សែនដល់មនុស្សនិងសត្វ។,ដើមឈើផ្ដល់ជាម្លប់ដ៏ត្រជាក់និងជួយបង្កើតអុកស៊ីហ្សែនដល់រាស្ត្រ។,ដើមឈើផ្ដល់ជាម្លប់ដ៏ត្រជាក់និងជួយបង្កើតអុកស៊ីហ្សែនដល់សត្វលោក។
ក្នុងនាមជាកូនល្អត្រូវចេះជួយធ្វើការងារផ្ទះនិងស្ដាប់បង្គាប់ឪពុកម្ដាយ។,ក្នុងនាមជាព្រះរាជបុត្រត្រូវចេះជួយធ្វើព្រះរាជការផ្ទះនិងស្ដាប់ព្រះរាជបង្គាប់។,ក្នុងនាមជាសាមណេរត្រូវចេះជួយធ្វើកិច្ចការវត្តនិងស្ដាប់ព្រះឧបជ្ឈាយ៍។
សព្វថ្ងៃនេះមនុស្សភាគច្រើនចូលចិត្តប្រើប្រាស់បណ្ដាញសង្គមដើម្បីទំនាក់ទំនងគ្នាទៅវិញទៅមក។,សព្វថ្ងៃនេះរាស្ត្រភាគច្រើនចូលចិត្តប្រើប្រាស់បណ្ដាញសង្គមដើម្បីទំនាក់ទំនងគ្នា។,សព្វថ្ងៃនេះពុទ្ធបរិស័ទភាគច្រើនចូលចិត្តប្រើប្រាស់បណ្ដាញសង្គមដើម្បីទំនាក់ទំនងគ្នា។
ខ្ញុំសប្បាយចិត្តណាស់ដែលបានជួបមិត្តចាស់កាលពីសម័យរៀនបឋមសិក្សាជាមួយគ្នា។,ព្រះអង្គសប្បាយព្រះទ័យណាស់ដែលបានជួបមាត្រាភក្តិចាស់កាលពីសម័យសិក្សាបឋមសិក្សាជាមួយគ្នា។,ព្រះតេជគុណសប្បាយចិត្តណាស់ដែលបានជួបពុទ្ធបរិស័ទចាស់កាលពីសម័យសិក្សាបឋមសិក្សាជាមួយគ្នា។
ការញ៉ាំបន្លែបៃតងច្រើនជួយឱ្យប្រព័ន្ធរំលាយអាហារដំណើរការបានល្អប្រសើរ។,ការសោយបន្លែបៃតងច្រើនជួយឱ្យព្រះរាជរំលាយអាហារដំណើរការបានល្អប្រសើរ។,ការសេពបន្លែបៃតងច្រើនជួយឱ្យប្រព័ន្ធរំលាយអាហារដំណើរការបានល្អប្រសើរ។
គាត់ជិះកង់ទៅធ្វើការរាល់ថ្ងៃដើម្បីសន្សំលុយនិងជួយបរិស្ថានផងដែរ។,ទ្រង់ជិះកង់ទៅធ្វើព្រះរាជការរាល់ថ្ងៃដើម្បីសន្សំព្រះរាជទ្រព្យនិងជួយបរិស្ថានផង។,ព្រះអង្គជិះកង់ទៅធ្វើកិច្ចការរាល់ថ្ងៃដើម្បីសន្សំទ្រព្យនិងជួយបរិស្ថានផង។
បណ្ណាល័យជាតិមានផ្ទុកទៅដោយឯកសារប្រវត្តិសាស្ត្រសំខាន់ៗជាច្រើនសម្រាប់អ្នកស្រាវជ្រាវ។,ព្រះរាជបណ្ណាល័យមានផ្ទុកទៅដោយឯកសារប្រវត្តិសាស្ត្រសំខាន់ៗជាច្រើនសម្រាប់អ្នកស្រាវជ្រាវ។,បណ្ណាល័យមានផ្ទុកទៅដោយឯកសារប្រវត្តិសាស្ត្រសំខាន់ៗជាច្រើនសម្រាប់អ្នកស្រាវជ្រាវ។
បងប្រុសខ្ញុំជាវិស្វករសំណង់ដែលកំពុងត្រួតពិនិត្យការសាងសង់អគារខ្ពស់មួយនេះ។,ព្រះអនុជជាវិស្វករសំណង់ដែលកំពុងត្រួតពិនិត្យការសាងសង់ព្រះរាជអគារខ្ពស់មួយនេះ។,ព្រះអនុសេធជាវិស្វករសំណង់ដែលកំពុងត្រួតពិនិត្យការសាងសង់អគារខ្ពស់មួយនេះ។
យើងគួរតែចូលគេងឱ្យបានពី៧ទៅ៨ម៉ោងក្នុងមួយយប់បាទ។,ព្រះអង្គទាំងឡាយគួរតែព្រះរាជសុខគេងឱ្យបានពី៧ទៅ៨ម៉ោងក្នុងមួយយប់។,ព្រះអង្គទាំងឡាយគួរតែចូលសមាធិឱ្យបានពី៧ទៅ៨ម៉ោងក្នុងមួយយប់។
ម្ហូបខ្មែរមានរសជាតិប្លែកនិងឆ្ងាញ់ពិសាជាពិសេសគឺសម្លម្ជូរគ្រឿងនិងប្រហុក។,ព្រះស្ងោយខ្មែរមានព្រះរសជាតិប្លែកនិងឆ្ងាញ់ពិសាជាពិសេសគឺសម្លម្ជូរគ្រឿងនិងប្រហុក។,អាហារខ្មែរមានរសជាតិប្លែកនិងឆ្ងាញ់ពិសាជាពិសេសគឺសម្លម្ជូរគ្រឿងនិងប្រហុក។
គាត់និយាយភាសាអង់គ្លេសបានយ៉ាងស្ទាត់ជំនាញដោយសារគាត់ខំរៀនតាំងពីតូច។,ទ្រង់និយាយភាសាអង់គ្លេសបានយ៉ាងស្ទាត់ជំនាញដោយសារទ្រង់ខំសិក្សាតាំងពីព្រះកុមារ។,ព្រះអង្គនិយាយភាសាអង់គ្លេសបានយ៉ាងស្ទាត់ជំនាញដោយសារព្រះអង្គខំសិក្សាតាំងពីតូច។
ទូរស័ព្ទដៃរបស់ខ្ញុំរលត់ព្រោះតែអស់ថ្មហើយខ្ញុំភ្លេចយកខ្សែសាកមក។,ព្រះរាជទូរស័ព្ទរបស់ព្រះអង្គរលត់ព្រោះតែអស់ថ្មហើយព្រះអង្គភ្លេចយកខ្សែសាកមក។,ទូរស័ព្ទរបស់ព្រះតេជគុណរលត់ព្រោះតែអស់ថ្មហើយព្រះអង្គភ្លេចយកខ្សែសាកមក។
ការដើរកម្សាន្តនៅតំបន់ភ្នំផ្ដល់អារម្មណ៍ស្រស់ស្រាយនិងជួយកាត់បន្ថយភាពតានតឹង។,ព្រះរាជដំណើរកម្សាន្តនៅតំបន់ភ្នំផ្ដល់ព្រះអារម្មណ៍ស្រស់ស្រាយនិងជួយកាត់បន្ថយភាពតានតឹង។,ការដើរកម្សាន្តនៅតំបន់ភ្នំផ្ដល់អារម្មណ៍ស្រស់ស្រាយនិងជួយកាត់បន្ថយភាពតានតឹង។
ប្អូនស្រីខ្ញុំកំពុងតែបោកខោអាវនៅក្រោយផ្ទះជាមួយនឹងបងស្រីជីដូនមួយ។,ព្រះអនុជនាងកំពុងតែបោកព្រះសំពត់នៅក្រោយព្រះរាជដំណាក់ជាមួយនឹងព្រះអង្គម្ចាស់ជីដូនមួយ។,ព្រះអនុសេធកំពុងតែបោកសំពត់នៅក្រោយកុដិជាមួយនឹងព្រះគន្ធកុដិមួយ។
ក្នុងសម័យកូវីដយើងត្រូវលាងដៃឱ្យស្អាតនិងពាក់ម៉ាស់គ្រប់ពេលចេញក្រៅ។,ក្នុងសម័យកូវីដព្រះអង្គទាំងឡាយត្រូវលាងព្រះហស្ថឱ្យស្អាតនិងពាក់ម៉ាស់គ្រប់ពេលយាងចេញ។,ក្នុងសម័យកូវីដព្រះអង្គទាំងឡាយត្រូវលាងហត្ថឱ្យស្អាតនិងពាក់ម៉ាស់គ្រប់ពេលចេញក្រៅ។
តម្លៃទំនិញនៅលើទីផ្សារបច្ចុប្បន្ននេះមានការឡើងថ្លៃបន្តិចបន្តួចជាងឆ្នាំមុន។,តម្លៃទំនិញនៅលើទីផ្សារបច្ចុប្បន្ននេះមានការឡើងថ្លៃបន្តិចបន្តួចជាងឆ្នាំមុន។,តម្លៃទំនិញនៅលើទីផ្សារបច្ចុប្បន្ននេះមានការឡើងថ្លៃបន្តិចបន្តួចជាងឆ្នាំមុន។
ខ្ញុំចង់រៀនជំនាញកុំព្យូទ័រដើម្បីងាយស្រួលក្នុងការរៀបចំឯកសារនិងការងារការិយាល័យ។,ព្រះអង្គមានព្រះរាជបំណងសិក្សាជំនាញកុំព្យូទ័រដើម្បីងាយស្រួលក្នុងការរៀបចំព្រះរាជឯកសារ។,ព្រះតេជគុណមានបំណងសិក្សាជំនាញកុំព្យូទ័រដើម្បីងាយស្រួលក្នុងការរៀបចំឯកសារ។
ក្មួយប្រុសខ្ញុំចូលចិត្តលេងបាល់ទាត់ជាមួយមិត្តភក្តិនៅទីលានក្រោយសាលារៀនជានិច្ច។,ព្រះរាជនត្តាប្រុសចូលចិត្តលេងបាល់ទាត់ជាមួយមាត្រាភក្តិនៅទីលានក្រោយសាលារៀនជានិច្ច។,សាមណេរប្រុសចូលចិត្តលេងបាល់ទាត់ជាមួយពុទ្ធបរិស័ទនៅទីលានក្រោយសាលារៀនជានិច្ច។
ផ្ការំដួលគឺជាផ្កាតំណាងអត្តសញ្ញាណជាតិនៃប្រទេសកម្ពុជាដែលមានក្លិនក្រអូប។,ផ្ការំដួលគឺជាផ្កាតំណាងព្រះរាជអត្តសញ្ញាណនៃព្រះរាជាណាចក្រកម្ពុជាដែលមានក្លិនក្រអូប។,ផ្ការំដួលគឺជាផ្កាតំណាងអត្តសញ្ញាណនៃប្រទេសកម្ពុជាដែលមានក្លិនក្រអូប។
ទឹកស្ទឹងសង្កែនៅខេត្តបាត់ដំបងមានសម្រស់ស្អាតនៅពេលថ្ងៃរៀបលិច។,ទឹកស្ទឹងសង្កែនៅខេត្តបាត់ដំបងមានសម្រស់ស្អាតនៅពេលថ្ងៃរៀបលិច។,ទឹកស្ទឹងសង្កែនៅខេត្តបាត់ដំបងមានសម្រស់ស្អាតនៅពេលថ្ងៃរៀបលិច។
នាងតែងតែសរសេរកំណត់ហេតុប្រចាំថ្ងៃដើម្បីចងចាំនូវព្រឹត្តិការណ៍សំខាន់ៗដែលបានកើតឡើង។,ព្រះនាងតែងតែសរសេរព្រះរាជកំណត់ហេតុប្រចាំថ្ងៃដើម្បីចងចាំព្រឹត្តិការណ៍សំខាន់ៗ។,ព្រះសារីបុត្រតែងតែសរសេរកំណត់ហេតុប្រចាំថ្ងៃដើម្បីចងចាំព្រឹត្តិការណ៍សំខាន់ៗ។
ការសិក្សាពេញមួយជីវិតគឺជាគន្លឹះសំខាន់សម្រាប់អភិវឌ្ឍខ្លួនឯងឱ្យកាន់តែប្រសើរ។,ព្រះរាជសិក្សាពេញមួយព្រះជន្មគឺជាគន្លឹះសំខាន់សម្រាប់ព្រះរាជអភិវឌ្ឍ។,ការសិក្សាធម៌ពេញមួយជីវិតគឺជាគន្លឹះសំខាន់សម្រាប់អភិវឌ្ឍខ្លួន។
លោកគ្រូកំពុងពន្យល់មេរៀនគណិតវិទ្យាយ៉ាងលម្អិតដល់សិស្សានុសិស្សនៅក្នុងថ្នាក់រៀន។,ព្រះគ្រូកំពុងពន្យល់ព្រះរាជមេរៀនគណិតវិទ្យាយ៉ាងលម្អិតដល់ព្រះរាជកុមារ។,ព្រះអាចារ្យកំពុងពន្យល់មេរៀនគណិតវិទ្យាយ៉ាងលម្អិតដល់សាមណេរ។
ខ្ញុំត្រូវការជួសជុលម៉ូតូរបស់ខ្ញុំព្រោះវាមានបញ្ហាម៉ាស៊ីនកាលពីម្សិលមិញនេះ។,ព្រះអង្គត្រូវការជួសជុលព្រះរាជយានព្រោះវាមានបញ្ហាម៉ាស៊ីនកាលពីម្សិលមិញនេះ។,ព្រះតេជគុណត្រូវការជួសជុលយានព្រោះវាមានបញ្ហាម៉ាស៊ីនកាលពីម្សិលមិញនេះ។
សម្លៀកបំពាក់បុរាណខ្មែរមានភាពថ្លៃថ្នូរនិងបង្ហាញពីវប្បធម៌ដ៏រុងរឿងរបស់យើង។,ព្រះសំពត់បុរាណខ្មែរមានភាពថ្លៃថ្នូរនិងបង្ហាញពីព្រះរាជវប្បធម៌ដ៏រុងរឿង។,សំពត់បុរាណខ្មែរមានភាពថ្លៃថ្នូរនិងបង្ហាញពីវប្បធម៌ដ៏រុងរឿង។
សត្វបក្សីហើរកាត់មេឃយ៉ាងច្រើននៅពេលល្ងាចត្រឡប់ទៅកាន់សំបុករបស់វា។,សត្វបក្សីហើរកាត់មេឃយ៉ាងច្រើននៅពេលល្ងាចត្រឡប់ទៅកាន់សំបុករបស់វា។,សត្វបក្សីហើរកាត់មេឃយ៉ាងច្រើននៅពេលល្ងាចត្រឡប់ទៅកាន់សំបុករបស់វា។
ខ្ញុំតែងតែញ៉ាំកាហ្វេមួយកែវរៀងរាល់ព្រឹកមុនពេលចាប់ផ្ដើមធ្វើការងារប្រចាំថ្ងៃ។,ព្រះអង្គតែងតែសោយកាហ្វេមួយកែវរៀងរាល់ព្រឹកមុនពេលចាប់ផ្ដើមព្រះរាជការងារ។,ព្រះតេជគុណតែងតែសេពកាហ្វេមួយកែវរៀងរាល់ព្រឹកមុនពេលចាប់ផ្ដើមកិច្ចការ។
ការជួយជនរងគ្រោះដោយគ្រោះមហន្តរាយផ្សេងៗបង្ហាញពីទឹកចិត្តសប្បុរសធម៌ក្នុងសង្គម។,ព្រះរាជជួយជនរងគ្រោះដោយគ្រោះមហន្តរាយបង្ហាញពីព្រះរាជករុណា។,ការជួយជនរងគ្រោះដោយគ្រោះមហន្តរាយបង្ហាញពីមេត្តាករុណា។
នាងមានបំណងប្រាថ្នាចង់ក្លាយជាគ្រូពេទ្យដើម្បីជួយព្យាបាលមនុស្សឈឺនៅជនបទ។,ព្រះនាងមានព្រះរាជបំណងចង់ក្លាយជាព្រះរាជពេទ្យដើម្បីជួយព្យាបាលរាស្ត្រឈឺ។,ព្រះសារីបុត្រមានបំណងចង់ក្លាយជាពេទ្យដើម្បីជួយព្យាបាលសត្វលោក។
កុំព្យូទ័រយួរដៃរបស់ខ្ញុំមានល្បឿនលឿនដែលជួយឱ្យខ្ញុំបញ្ចប់ការងារបានឆាប់។,ព្រះរាជកុំព្យូទ័រយួរដៃរបស់ព្រះអង្គមានល្បឿនលឿនដែលជួយឱ្យព្រះអង្គបញ្ចប់ព្រះរាជការឆាប់។,កុំព្យូទ័រយួរដៃរបស់ព្រះតេជគុណមានល្បឿនលឿនដែលជួយឱ្យព្រះអង្គបញ្ចប់កិច្ចការឆាប់។
ពួកយើងគួរតែសន្សំសំចៃអគ្គិសនីនិងទឹកដើម្បីកាត់បន្ថយចំណាយនិងជួយភពផែនដី។,ព្រះអង្គទាំងឡាយគួរតែសន្សំសំចៃអគ្គិសនីនិងទឹកដើម្បីកាត់បន្ថយចំណាយនិងជួយភពផែនដី។,ព្រះអង្គទាំងឡាយគួរតែសន្សំសំចៃអគ្គិសនីនិងទឹកដើម្បីកាត់បន្ថយចំណាយនិងជួយភពផែនដី។
ថ្ងៃអាទិត្យគឺជាពេលវេលាដ៏ល្អសម្រាប់សម្រាកនិងជួបជុំគ្រួសារបរិភោគអាហារជុំគ្នា។,ថ្ងៃអាទិត្យគឺជាពេលវេលាដ៏ល្អសម្រាប់ព្រះរាជសម្រាកនិងជួបជុំព្រះរាជវង្សានុវង្ស។,ថ្ងៃអាទិត្យគឺជាពេលវេលាដ៏ល្អសម្រាប់សម្រាកនិងជួបជុំពុទ្ធបរិស័ទ។
កូនឆ្មាតូចមួយនេះគួរឱ្យស្រឡាញ់ណាស់វាចូលចិត្តលេងជាមួយខ្សែរោមចៀម។,ព្រះរាជសត្វឆ្មាតូចមួយនេះគួរឱ្យស្រឡាញ់ណាស់វាចូលចិត្តលេងជាមួយខ្សែរោមចៀម។,សត្វឆ្មាតូចមួយនេះគួរឱ្យស្រឡាញ់ណាស់វាចូលចិត្តលេងជាមួយខ្សែរោមចៀម។
រោងកុននៅផ្សារទំនើបតែងតែមានមនុស្សមកមើលកុនយ៉ាងច្រើនកុះករនៅចុងសប្ដាហ៍។,រោងកុននៅផ្សារទំនើបតែងតែមានរាស្ត្រមកទស្សនាកុនយ៉ាងច្រើនកុះករនៅចុងសប្ដាហ៍។,រោងកុននៅផ្សារទំនើបតែងតែមានពុទ្ធបរិស័ទមកទស្សនាកុនយ៉ាងច្រើនកុះករនៅចុងសប្ដាហ៍។
ការយល់ដឹងអំពីច្បាប់ចរាចរណ៍ជួយឱ្យយើងបើកបរកាន់តែមានសុវត្ថិភាពខ្ពស់នៅលើផ្លូវ។,ការយល់ដឹងអំពីព្រះរាជច្បាប់ចរាចរណ៍ជួយឱ្យព្រះអង្គព្រះរាជដំណើរកាន់តែមានសុវត្ថិភាព។,ការយល់ដឹងអំពីច្បាប់ចរាចរណ៍ជួយឱ្យព្រះអង្គធ្វើដំណើរកាន់តែមានសុវត្ថិភាព។
គាត់ជាជាងថតរូបម្នាក់ដែលអាចផ្ដិតយករូបភាពធម្មជាតិបានយ៉ាងស្រស់ស្អាត។,ទ្រង់ជាព្រះរាជជាងថតរូបម្នាក់ដែលអាចផ្ដិតយកព្រះរាជរូបភាពធម្មជាតិបានយ៉ាងស្រស់ស្អាត។,ព្រះអង្គជាជាងថតរូបម្នាក់ដែលអាចផ្ដិតយករូបភាពធម្មជាតិបានយ៉ាងស្រស់ស្អាត។
